profile_id,station_m,easting_x,northing_y,EM_VL_mSm,EM_HL_mSm,crs
Profile 3,20,465908.14,5754941.14,12.5,14.3,EPSG:32633
Profile 3,25,465912.93,5754938.68,13.9,18.8,EPSG:32633
Profile 3,30,465917.71,5754936.21,18.9,20.8,EPSG:32633
Profile 3,35,465922.5,5754933.75,18.3,20.4,EPSG:32633
Profile 3,40,465927.29,5754931.29,22.4,26.8,EPSG:32633
Profile 3,45,465932.07,5754928.82,21.1,27.7,EPSG:32633
Profile 3,50,465936.86,5754926.36,22.7,31.5,EPSG:32633
Profile 3,55,465941.64,5754923.89,26.9,31.2,EPSG:32633
Profile 3,60,465946.43,5754921.43,26.9,34.7,EPSG:32633
Profile 3,65,465951.21,5754918.96,26.8,37.1,EPSG:32633
Profile 3,70,465956.0,5754916.5,27.7,34.8,EPSG:32633
Profile 3,75,465960.79,5754914.04,27.9,36.5,EPSG:32633
Profile 3,80,465965.57,5754911.57,25.8,33.7,EPSG:32633
Profile 3,85,465970.36,5754909.11,27.9,33.3,EPSG:32633
Profile 3,90,465975.14,5754906.64,24.2,30.5,EPSG:32633
Profile 3,95,465979.93,5754904.18,21.2,26.7,EPSG:32633
Profile 3,100,465984.71,5754901.71,20.3,25.3,EPSG:32633
Profile 3,105,465989.5,5754899.25,18.0,21.1,EPSG:32633
Profile 3,110,465994.29,5754896.79,15.7,20.0,EPSG:32633
Profile 3,115,465999.07,5754894.32,14.8,18.7,EPSG:32633
Profile 3,120,466003.86,5754891.86,15.9,13.3,EPSG:32633
Profile 3,125,466008.64,5754889.39,12.3,13.9,EPSG:32633
Profile 3,130,466013.43,5754886.93,11.3,10.3,EPSG:32633
Profile 3,135,466018.21,5754884.46,13.5,11.0,EPSG:32633
Profile 3,140,466023.0,5754882.0,11.1,11.0,EPSG:32633
Profile 4,0,465916.0,5754963.0,12.4,8.6,EPSG:32633
Profile 4,5,465920.43,5754960.79,10.1,10.4,EPSG:32633
Profile 4,10,465924.86,5754958.57,12.1,11.7,EPSG:32633
Profile 4,15,465929.29,5754956.36,14.3,13.9,EPSG:32633
Profile 4,20,465933.71,5754954.14,16.4,13.4,EPSG:32633
Profile 4,25,465938.14,5754951.93,15.5,16.4,EPSG:32633
Profile 4,30,465942.57,5754949.71,18.8,18.5,EPSG:32633
Profile 4,35,465947.0,5754947.5,17.9,22.0,EPSG:32633
Profile 4,40,465951.43,5754945.29,20.6,24.1,EPSG:32633
Profile 4,45,465955.86,5754943.07,21.7,29.5,EPSG:32633
Profile 4,50,465960.29,5754940.86,24.2,31.9,EPSG:32633
Profile 4,55,465964.71,5754938.64,26.1,30.9,EPSG:32633
Profile 4,60,465969.14,5754936.43,29.0,35.8,EPSG:32633
Profile 4,65,465973.57,5754934.21,29.6,37.3,EPSG:32633
Profile 4,70,465978.0,5754932.0,29.4,34.7,EPSG:32633
Profile 4,75,465982.43,5754929.79,27.7,34.5,EPSG:32633
Profile 4,80,465986.86,5754927.57,26.6,32.7,EPSG:32633
Profile 4,85,465991.29,5754925.36,25.4,34.7,EPSG:32633
Profile 4,90,465995.71,5754923.14,23.5,31.6,EPSG:32633
Profile 4,95,466000.14,5754920.93,22.5,27.5,EPSG:32633
Profile 4,100,466004.57,5754918.71,22.7,27.0,EPSG:32633
Profile 4,105,466009.0,5754916.5,19.3,23.1,EPSG:32633
Profile 4,110,466013.43,5754914.29,16.0,18.7,EPSG:32633
Profile 4,115,466017.86,5754912.07,17.7,17.4,EPSG:32633
Profile 4,120,466022.29,5754909.86,14.7,16.0,EPSG:32633
Profile 4,125,466026.71,5754907.64,11.6,13.6,EPSG:32633
Profile 4,130,466031.14,5754905.43,12.4,13.2,EPSG:32633
Profile 4,135,466035.57,5754903.21,10.4,12.5,EPSG:32633
Profile 4,140,466040.0,5754901.0,9.5,8.6,EPSG:32633
